dataset,seed,split,bit_index,branch,activation_rate,binary_entropy_bits,continuous_mean,continuous_sd
mnist,123,test,11,2,0.7005,0.8806788440000577,0.02076493389904499,0.04247306287288666
mnist,123,test,12,3,1.0,0.0,0.1801031529903412,0.035014234483242035
mnist,123,test,13,3,0.2915,0.8706510209167262,-0.030973896384239197,0.05485605448484421
mnist,123,test,14,3,0.9925,0.06372123785493009,0.0903019830584526,0.03985942527651787
mnist,123,test,15,3,0.0,0.0,-0.141237273812294,0.04787752032279968
mnist,456,train,0,0,1.0,0.0,0.13764414191246033,0.026295550167560577
mnist,456,train,1,0,0.9999,0.0014730335283280294,0.14604432880878448,0.03521760180592537
mnist,456,train,2,0,0.2293,0.7767890490917189,-0.025936327874660492,0.03570547699928284
mnist,456,train,3,0,0.0,0.0,-0.17155662178993225,0.03598666936159134
mnist,456,train,4,1,0.0,0.0,-0.2247418910264969,0.050831012427806854
mnist,456,train,5,1,0.8136,0.6938794971914295,0.031113427132368088,0.03528055176138878
mnist,456,train,6,1,0.2962,0.8765960861188786,-0.01718899980187416,0.03428066149353981
mnist,456,train,7,1,0.9981,0.019914106107932032,0.0976450964808464,0.031249331310391426
mnist,456,train,8,2,0.9985,0.016233651393198188,0.098259836435318,0.033339422196149826
mnist,456,train,9,2,0.1256,0.5452464851371476,-0.04976176097989082,0.04013422504067421
mnist,456,train,10,2,1.0,0.0,0.22202736139297485,0.03613070026040077
mnist,456,train,11,2,0.9998,0.0027460526282628087,0.13952761888504028,0.03852183371782303
mnist,456,train,12,3,0.0,0.0,-0.1524398922920227,0.03430386632680893
mnist,456,train,13,3,0.1289,0.5544136949431769,-0.04128396138548851,0.03858610615134239
mnist,456,train,14,3,0.0287,0.18782993023649522,-0.05746271833777428,0.032809752970933914
mnist,456,train,15,3,0.7882,0.7449093155304319,0.04050988331437111,0.04624200239777565
mnist,456,test,0,0,1.0,0.0,0.1361711174249649,0.02519414573907852
mnist,456,test,1,0,1.0,0.0,0.14007580280303955,0.03381894528865814
mnist,456,test,2,0,0.1605,0.6355043726893206,-0.03383716568350792,0.03492172062397003
mnist,456,test,3,0,0.0,0.0,-0.1702265441417694,0.036740534007549286
mnist,456,test,4,1,0.0,0.0,-0.22450804710388184,0.05018646642565727
mnist,456,test,5,1,0.861,0.5816138985648369,0.036139778792858124,0.03313111513853073
mnist,456,test,6,1,0.237,0.7900156893384529,-0.022329695522785187,0.03340774402022362
mnist,456,test,7,1,0.999,0.011407757737461145,0.09566406905651093,0.030331015586853027
mnist,456,test,8,2,0.9975,0.025211865892934317,0.0987560898065567,0.032393354922533035
mnist,456,test,9,2,0.0885,0.4314430953150709,-0.05129517614841461,0.03741937130689621
mnist,456,test,10,2,1.0,0.0,0.22380425035953522,0.03646906837821007
mnist,456,test,11,2,1.0,0.0,0.13020539283752441,0.03576192259788513
mnist,456,test,12,3,0.0,0.0,-0.14761576056480408,0.033206015825271606
mnist,456,test,13,3,0.152,0.6148227571490692,-0.035442054271698,0.03579052537679672
mnist,456,test,14,3,0.0375,0.2307099556914764,-0.058966320008039474,0.032902445644140244
mnist,456,test,15,3,0.7905,0.7405259206127808,0.04164225980639458,0.046499427407979965
fashion,42,train,0,0,0.9756,0.16547895236095783,0.09274414926767349,0.04362161085009575
fashion,42,train,1,0,0.8621,0.5787125680794989,0.062171388417482376,0.056252509355545044
fashion,42,train,2,0,1.0,0.0,0.21300941705703735,0.050502531230449677
fashion,42,train,3,0,0.0014,0.015290858996338223,-0.16551493108272552,0.05481160804629326
fashion,42,train,4,1,0.0089,0.07340929030162507,-0.08667530119419098,0.0386691689491272
fashion,42,train,5,1,0.9563,0.2590066477050489,0.11726407706737518,0.06526552885770798
fashion,42,train,6,1,0.6514,0.9328115181377442,0.012908823788166046,0.04298342391848564
fashion,42,train,7,1,0.9659,0.2145536903370142,0.10466723889112473,0.055523600429296494
fashion,42,train,8,2,0.091,0.43979890827156226,-0.0677260160446167,0.050123002380132675
fashion,42,train,9,2,0.0001,0.0014730335283281598,-0.17334045469760895,0.04336598515510559
fashion,42,train,10,2,1.0,0.0,0.2319997102022171,0.04553030803799629
fashion,42,train,11,2,0.5084,0.9997963972977278,-0.002893325872719288,0.05399337038397789
fashion,42,train,12,3,0.9997,0.003943568548144849,0.19520781934261322,0.056974392384290695
fashion,42,train,13,3,0.9996,0.005092047537179772,0.19714419543743134,0.060364313423633575
fashion,42,train,14,3,0.9586,0.24867472238923966,0.0780937522649765,0.04378195106983185
fashion,42,train,15,3,0.2423,0.7988442237298402,-0.04473032057285309,0.05930791795253754
fashion,42,test,0,0,0.973,0.179116319181652,0.09167716652154922,0.04476318508386612
fashion,42,test,1,0,0.87,0.5574381850279891,0.06176408380270004,0.05543289706110954
fashion,42,test,2,0,1.0,0.0,0.21338889002799988,0.04995414987206459
fashion,42,test,3,0,0.0005,0.006204059295831671,-0.16608209908008575,0.054601654410362244
fashion,42,test,4,1,0.007,0.06017244203200856,-0.08582093566656113,0.03850247338414192
fashion,42,test,5,1,0.956,0.26034062501245053,0.11581147462129593,0.06420736014842987
fashion,42,test,6,1,0.658,0.9267197214533212,0.014778560027480125,0.04149017110466957
fashion,42,test,7,1,0.9685,0.2018593879845883,0.10607368499040604,0.055037014186382294
fashion,42,test,8,2,0.0765,0.3897250272638175,-0.07003896683454514,0.050067055970430374
fashion,42,test,9,2,0.0,0.0,-0.17159612476825714,0.04198784753680229
fashion,42,test,10,2,1.0,0.0,0.23060263693332672,0.04660218209028244
fashion,42,test,11,2,0.4925,0.9998376907209824,-0.00418128864839673,0.05347637087106705
fashion,42,test,12,3,1.0,0.0,0.19667653739452362,0.05696219205856323
